title,content,date
"Teknologi Baru Sepatu Segala Medan, Bisa Buat Trekking-Mancing","Ada teknologi baru yang ditanamkan ke sebuah sepatu, yang membuatnya cocok dipakai di segala medan, bisa buat trekking dan juga mancing.","Senin, 10 Jun 2024 11:03 WIB"
"Lihat dari Dekat Motor Listrik Honda CUV e:, Harga Tembus Rp 50-an Juta",Cikarang- Honda juga meluncurkan motor listrik CUV e:. Motor listrik ini hadir dengan sejumlah teknologi mutakhir.,"Kamis, 10 Okt 2024 09:37 WIB"
"Pusri Launching Teknologi AR/VR, Permudah Pengenalan Profil Perusahaan","Sebagai salah satu upaya transformasi digital khususnya dalam bidang pembelajaran di lingkungan perusahaan, PT Pusri Palembang merilis Virtual Reality (VR) dan Augmented Reality (AR).","Kamis, 25 Jul 2024 10:00 WIB"
"Terbitkan Buku, Kemenperin Dorong Penerapan Teknologi 4.0 Industri Batik",Kementerian Perindustrian (Kemenperin) mendorong pengembangan industri batik di tengah era digital saat ini. Salah satu upaya Kemenperin terlihat dari diterbitkannya buku berjudul 'Batik Berkelanjutan: Rantai Pasok Industri 4.0' yang disusun oleh tim penulis dari berbagai latar belakang.,"Jumat, 04 Okt 2024 10:53 WIB"
RI-Amerika Serikat Buka Kerja Sama Pengembangan Teknologi hingga EBT,Menteri Koordinator Bidang Perekonomian Airlangga Hartarto bertemu dengan Under Secretary for Economic Growth US Department of States Jose Fernandez.,"Selasa, 16 Jul 2024 10:45 WIB"
"Terapkan Teknologi 4.0, Produksi Semen SIG Naik & Turunkan Emisi","""Implementasi teknologi berbasis Industry 4.0 terbukti berhasil meningkatkan produktivitas dalam kegiatan produksi dengan penggunaan energi yang lebih hemat. Tak hanya berkontribusi terhadap efisiensi biaya dan penurunan emisi, namun penerapan teknologi Industry 4.0 juga membantu dalam peningkatan keselamatan pertambangan, sehingga SIG meraih penghargaan Good Mining Practice Adhitama dan Predikat Terbaik bidang keselamatan pertambangan dari Kementerian Perindustrian,"" ungkap Direkrut Operasi SIG, Reni Wulandari, dalam keterangannya, Kamis (3/10/2024).","Kamis, 03 Okt 2024 19:24 WIB"
Penguasaan Teknologi Roket dan Satelit: Kunci Kemandirian Antariksa,"Kedaulatan ruang udara dan ruang antariksa adalah dua aspek yang saling terkait dalam konteks geopolitik dan teknologi modern. Ruang udara, yang mencakup wilayah di atas daratan dan perairan suatu negara, merupakan wilayah kedaulatan yang diatur secara tegas oleh hukum internasional. Namun, kedaulatan ini memiliki batas yang semakin kabur ketika menyangkut ruang angkasa, karena antariksa dianggap sebagai domain yang terbuka untuk eksplorasi dan pemanfaatan oleh semua negara, sesuai dengan perjanjian internasional seperti Outer Space Treaty 1967. Bagi Indonesia, menjaga kedaulatan baik di ruang udara maupun ruang antariksa menjadi semakin penting, mengingat pesatnya perkembangan teknologi antariksa dan persaingan global yang semakin intens.","Kamis, 03 Okt 2024 19:30 WIB"
Waka MPR Sebut Nilai Budaya Harus Jadi Pondasi Moral Teknologi AI,"Wakil Ketua MPR RI, Lestari Moerdijat mengatakan nilai-nilai budaya dan kebangsaan harus menjadi pondasi moral dalam pemanfaatan kecerdasan buatan di Indonesia. Apalagi saat ini teknologi tersebut sedang berkembang dengan pesat.","Rabu, 25 Sep 2024 22:06 WIB"
Teknologi Bisa Kikis Kesenjangan di Dunia Pendidikan,"Google for Education Indonesia Country Lead, Olivia Husli Basrin, menyebut teknologi bisa menjadi jembatan untuk memperkecil kesenjangan yang menjadi masalah di sistem pendidikan di Indonesia.","Minggu, 05 Mei  2024 13:45 WIB"
Video: Melihat Aksi Gemas Robot Anjing Pintar TECNO Dynamic 1,Robot anjing pintar TECNO Dynamic 1 hadir pertama kali di Indonesia. Robot itu dipamerkan di di TECNO Game Fest di Mall Taman Anggrek pada 24-19 September 2024. Begini wujudnyaâ¦,Tidak ada tanggal
Simak! Ini Pekerjaan yang Bakal Hilang dan Muncul karena Teknologi,"Kementerian Koordinator (Kemenko) Bidang Perekonomian memperkirakan 80 juta lapangan pekerjaan yang hilang seiring berkembangnya teknologi. Di sisi lain, akan ada sekitar 67 juta lapangan pekerjaan muncul karena transformasi teknologi tersebut.","Rabu, 12 Jun 2024 19:00 WIB"
"Teknologi Haji 2024, dari e-Skuter Hingga Haramain Express",Kerajaan Arab Saudi harus melakukan pengaturan cermat dalam memfasilitasi para peziarah yang melaksanakan ibadah haji setiap tahunnya. Sistem transportasi yang efisien hingga teknologi mutakhir diterapkan negara ini untuk memastikan perjalanan yang lancar dan nyaman bagi semua jemaah.,"Rabu, 12 Jun 2024 18:46 WIB"
Teknologi di Balik Keindahan Kubah Masjid Nabawi yang Bisa Bergeser,"Selain payung-payung raksasa cantik yang menjadi salah satu ciri khasnya, Masjid Nabawi di Madinah, Arab Saudi juga punya kubah yang bisa menutup dan membuka di waktu-waktu tertentu. Sama seperti ketika payung-payung raksasa menguncup dan mengembang, pemandangan menutup dan membukanya kubah juga kerap dinantikan jemaah yang beribadah di sana.","Selasa, 11 Jun 2024 13:15 WIB"
Potret Proyek Hotel Pertama di Dunia yang Dibangun dengan Printer 3D,Texas- Teknologi cetak 3D dan industri perhotelan bertemu di gurun Texas Barat. Hotel ini disebut sebagai hotel cetak 3D pertama di dunia oleh mitra proyek.,"Selasa, 08 Okt 2024 10:00 WIB"
Pasar Produk Teknologi Bakal Terus Tumbuh di Indonesia,"GfK Indonesia mengungkap sejumlah insight mengenai pasar Tech & Durable (T&D) di Indonesia, yang menyoroti tren terkini dan peluang yang menarik di masa depan.","Minggu, 16 Jun 2024 21:03 WIB"
Waka MPR: Perhatikan Literasi Digital demi Tekan Dampak Negatif Teknologi,"Wakil Ketua MPR RI Lestari Moerdijat menyoroti pentingnya membangun karakter generasi penerus. Menurutnya, hal ini perlu diperhatikan demi mengimbangi kecepatan perkembangan teknologi yang berpotensi mempengaruhi generasi muda dalam proses pembangunan.","Minggu, 26 Mei  2024 19:05 WIB"
Hati-hati! Penawaran Teknologi AI Jadi Modus Baru Investasi Bodong,"Otoritas Jasa Keuangan (OJK) mengungkap penawaran investasi bodong juga semakin bervariasi modusnya, terutama di tengah berkembangnya teknologi Artificial intelligence (AI).","Selasa, 01 Okt 2024 17:20 WIB"
Bamsoet Peringatkan Sisi Gelap Kemajuan Teknologi Terhadap Generasi Muda,"Ketua MPR RI Bambang Soesatyo (Bamsoet) bersama OSIS SMA Labschool berkolaborasi menggelar Sosialisasi Empat Pilar MPR RI. Hal ini diselenggarakan bersama dalam rangkaian acara Sky Nation 2024 SMA Labschool Kebayoran, Jakarta.","Sabtu, 04 Mei  2024 13:10 WIB"
Sekda Klaten: Guru Jangan Sampai Kalah dengan Teknologi,Sekretaris Daerah (Sekda) Kabupaten Klaten Jajang Prihono menghadiri halalbihalal dan Hari Ulang Tahun (HUT) Persatuan Guru Republik Indonesia (PGRI) TK Pertiwi (TKP) ke-44 Kabupaten Klaten. Ia menekankan kepada ratusan guru agar jangan sampai kalah dengan teknologi.,"Senin, 29 Apr 2024 16:00 WIB"
Kala Petani Ciparay Dikenalkan Teknologi Pemupukan Pakai Drone,"Para petani di Desa Ciparay, Kecamatan Ciparay, Kabupaten Bandung dikenalkan sistem pertanian berbasis teknologi. Pemupukan padi bisa dilakukan menggunakan drone.","Jumat, 21 Jun 2024 16:30 WIB"
Jusuf Kalla Bicara Teknologi Masa Depan hingga Budaya RI di UMI Makassar,"Wakil Presiden RI ke-10 dan ke-12, HM Jusuf Kalla (JK) berkunjung ke Universitas Muslim Indonesia (UMI) Makassar, Sulawesi Selatan (Sulsel). JK berbicara mengenai teknologi masa depan hingga budaya Indonesia yang menjadi keunggulan.","Jumat, 04 Okt 2024 19:13 WIB"
Video: Meta Pamerkan Kacamata Orion AR yang Diklaim Canggih,"Meta memamerkan prototipe kacamata AR pertamanya yaitu Orion, selama konferensi tahunan Connect di kantor pusatnya di California pada hari Rabu (25/9). Kacamata dipamerkan bersama dengan pembaruan pada produk virtual-reality dan kecerdasan buatan yang sudah ada.",Tidak ada tanggal
Pendiri Perusahaan Digital Arfian Fuadi Terima Penghargaan Inovator Teknologi,"Arfian Fuadi (38) pendiri Dtech-Engineering berhasil mendunia dengan karya-karya desain digitalnya. Berkat karya yang mendunia ini, Arfian Fuadi menerima penghargaan detikjateng-jogja awards sebagai Inovator Teknologi Industri Kecil-Menengah.","Selasa, 30 Apr 2024 14:56 WIB"
12 Ramalan Teknologi Jenius ala Film Sci-Fi yang Jadi Kenyataan,"Pada zamannya teknologi berikut hanya ada dalam ramalan atau film science fiction (sci-fi). Namun, kemajuan teknologi memungkinkan ramalan teknologi tersebut jadi kenyataan.","Sabtu, 18 Mei  2024 17:45 WIB"
"Teknologi Zaman Perunggu Ini Disebut Bisa Mengurangi Emisi, Seperti Apa Bentuknya?","Perserikatan Bangsa-Bangsa (PBB) memiliki tujuan iklim emisi nol bersih pada 2050. Berbagai cara diupayakan masyarakat global dengan mengubah gaya hidup dan industri yang lebih ramah lingkungan. Namun, siapa sangka studi menemukan bahwa teknologi Zaman Perunggu justru bisa mengurangi emisi.","Rabu, 07 Agu 2024 20:30 WIB"
Terowongan Bawah Tanah Tokyo Jadi Destinasi Wisata,Tokyo- Terowongan bawah tanah yang melindungi Tokyo dari banjir jadi daya tarik bagi wisatawan. Pengunjung bisa melihat kecanggihan teknologi dari Negeri Sakura itu.,"Sabtu, 05 Okt 2024 10:03 WIB"
Sektor Teknologi Dominasi Perusahaan Paling Berharga di Dunia,Bisnis pada sektor teknologi terus berkembang cepat. Hal ini sejalan dengan mendominasinya sektor teknologi pada 5 perusahaan paling berharga di dunia.,"52,198 Views  |  Kamis, 27 Jun 2024 13:05 WIB"
"Profesor Riset BRIN Ungkap Teknologi yang Bisa 'Genjot' Pertanian Indonesia, Apa Itu?","Profesor Riset BRIN, Heny Herawati, mengenalkan teknologi formulasi-ekstrusi untuk meningkatkan pertanian Indonesia. Menurutnya, teknologi ini telah berhasil inovasi pengganti gandum berbahan baku lokal.","Rabu, 17 Jul 2024 14:30 WIB"
Airlangga Dorong KEK Kura-Kura Bali Menjadi Katalisator Teknologi,"Pemerintah Indonesia terus berupaya untuk mendorong pemanfaatan teknologi di berbagai sektor, salah satunya industri nasional. Hal itu terlihat dari diluncurkan Kerangka Ekonomi Digital Nasional 2023 dengan memproyeksikan artificial intelligence (AI) dan semikonduktor.","Minggu, 29 Sep 2024 13:19 WIB"
Begini Transformasi Stasiun hingga Teknologi Face Recognition buat Naik KA,KAI Group melakukan inovasi di bidang keselamatan dan pelayanan. Salah satu anak usaha KAI yang juga menjadi central of services dalam melayani pelanggan adalah KAI Services.,"Minggu, 29 Sep 2024 11:28 WIB"
Realme Pamer Teknologi Charger 300W,"Realme akhirnya memastikan akan merilis teknologi charger 300W terbarunya pada 14 Agustus mendatang di China, tepatnya di acara tahunan Realme yang bernama 828 Fan Festival.","Senin, 12 Agu 2024 21:10 WIB"
Christopher Nolan Si Anti-Teknologi,"Bahkan bagi beberapa orang, smartphone menjadi salah satu hal yang paling penting dan wajib untuk dibawa ke mana pun mereka pergi. Namun hal ini ternyata tak berlaku untuk Christopher Nolan.",Tidak ada tanggal
7 Produk Teknologi yang Mati di Tahun 2023,"2023 menjadi tahun kelahiran beberapateknologibaru. Sebut saja headset Apple Vision Pro yang sudah lama dirumorkan, serta kebangkitan kecerdasan buatan (AI) generatif seperti ChatGPT dan Google Bard.","Jumat, 29 Des 2023 09:45 WIB"
Video: Kebolehan Xiaomi 14T dan Xiaomi 14T Pro: Fotografi Malam dengan Leica,Xiaomi 14T Series telah diluncurkan secara global. Mereka adalah Xiaomi 14T dan Xiaomi 14T Pro yang menghadirkan pengalaman fotografi malam lebih hidup berkat teknologi Leica.,"16,666 Views  |  Jumat, 27 Sep 2024 08:00 WIB"
Melihat Peringkat ESG Global Perusahaan Teknologi,"Morningstar Sustainalytics baru saja merilis hasil terbaru peringkat environmental, social, and governance (ESG) perusahaan teknologi. Siapa yang paling baik?","Jumat, 06 Sep 2024 06:40 WIB"
"Makin Canggih, Pemasaran Properti Kini Bisa Pakai Teknologi ini","Dunia pemasaran terus berubah dan berkembang. Dari yang sebelumnya era Marketing 5.0, yaitu Technology for Humanity, kini menuju era baru, yaitu Marketing 6.0, In The Metaverse.","Senin, 22 Jan 2024 19:00 WIB"
"Bukan Hanya Robot, Ini Peran Penting Teknologi 4.0 untuk Industri Halal","Dalam sektor industri halal, teknologi industri 4.0 dinilai berperan penting menjaga kualitas produk serta membuka peluang baru untuk bersaing di pasar global. Hal ini turut menjadi bahasan dalam talkshow Industrial Festival 2024 di Tangerang pada Sabtu (28/9).","Selasa, 01 Okt 2024 09:54 WIB"
Penampakan Terkini Terminal Bandara Nusantara IKN,Kalimantan Timur- Pengerjaan proyek Bandara Nusantara di IKN terus dilakukan. Bandara ini memanfaatkan beberapa teknologi pendukung guna hasil optimal. Begini penampakannya.,"Kamis, 26 Sep 2024 23:00 WIB"
"Video: Elon Musk Suguhkan Robot Optimus, Bisa Menyiram-Jaga Anak","Dalam acara 'We Robot' yang digelar Tesla di California pada Kamis (10/10), CEO Tesla, Elon Musk, menyuguhkan sejumlah teknologi yang sukses diciptakan. Salah satunya adalah robot humanoid Optimus","758 Views  |  Jumat, 11 Okt 2024 19:30 WIB"
Dirut Lintasarta Bicara Pentingnya Literasi Teknologi di Indonesia,Direktur Utama Lintasarta Bayu Hanantasena menjadi narasumber dalam Podcast Endgame yang dipandu Gita Wirjawan di kanal YouTube-nya. Podcast tersebut menggali topik mendalam mengenai kemajuan ilmu pengetahuan dan teknologi.,"Sabtu, 13 Jan 2024 21:49 WIB"
Kemhan Dorong Kemajuan Industri Dirgantara Nasional dengan Transfer Teknologi,Kementerian Pertahanan (Kemhan) RI mendorong industri dirgantara dalam negeri. Salah satu langkahnya adalah dengan memperbanyaktransfers of technologyatau transfer teknologi.,"Jumat, 27 Sep 2024 19:06 WIB"
Kata Polisi Hongkong soal Teknologi ETLE-Analisa Kecelakaan yang Dipakai Korlantas,Polisi Hong Kong mengomentari soal teknologi yang digunakan Korlantas Polri dalam meningkatkan keselamatan dan kenyamanan berkendara. Begini katanya.,"Senin, 30 Sep 2024 20:35 WIB"
"Panduan Pakai AI buat Mahasiswa dan Dosen Resmi Kemdikbud, Download di Sini!","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) merilis buku Panduan Penggunaan Generative Artificial Intelligence (GenAI) pada Pembelajaran di Perguruan Tinggi, Jumat (11/10/2024).Download(unduh) panduan AI di kampus ini di lamans.id/PanduanGenAI.","Jumat, 11 Okt 2024 19:00 WIB"
Sejarah Komputer: Berawal dari Mesin Hitung hingga Teknologi Berbasis Jaringan,"Komputer telah menjadi salah satu aspek paling integral dalam kehidupan abad ke-21 saat ini. Istilah komputer berasal dari bahasa Latincomputareyang berarti menghitung. Mengingat, komputer awalnya dirancang sebagai mesin hitung.","Minggu, 07 Jan 2024 06:00 WIB"
"Ulike Hadir di Indonesia, Bawa Teknologi Kecantikan Hair Removal","Merek teknologi kecantikan yang sedang tren saat ini Ulike, merupakan brand terpercaya di sektor hair removal secara global. Mereka mengungkapkan rencananya untuk memasuki pasar Indonesia di channel online dan offline selama acara pertamanya di Indonesia.",Tidak ada tanggal
Video: Respons ITB soal Kebijakan Kerja Paruh Waktu pada Penerima Keringanan UKT,Pihak Institut Teknologi Bandung (ITB) buka suara terkait kebijakan kerja paruh waktu di kampus untuk mahasiswa penerima beasiswa pengurangan Uang Kuliah Tunggal (UKT). Disebutkan bahwa tujuan kebijakan ini agar mahasiswa bisa berkontribusi pada pengembangan kampus.,"9,082 Views  |  Rabu, 25 Sep 2024 18:30 WIB"
"Profesor Harvard Klaim Dugaan Kedatangan Alien ke Bumi, Pakai Teknologi Ini","Alien terus menjadi perdebatan dan menjadi topik menarik untuk ditelusuri para ilmuwan. Salah satunya adalah seorang ahli astrofisika teoretis di Universitas Harvard, Profesor Avi Loeb, yang dijuluki sebagai 'pemburu alien'.","Senin, 22 Apr 2024 19:00 WIB"
Macam-Macam Perkembangan Teknologi dalam Kehidupan Sehari-hari,"Teknologi menurut Kamus Besar Bahasa Indonesia (KBBI) memiliki dua arti. Pertama, teknologi diartikan sebagai metode ilmiah untuk mencapai tujuan praktis; ilmu pengetahuan terapan. Kedua, teknologi dipahami sebagai keseluruhan sarana untuk menyediakan barang-barang yang diperlukan bagi kelangsungan dan kenyamanan hidup manusia.","Jumat, 22 Des 2023 06:30 WIB"
Realme Pamer Teknologi Fast Charging 300W,"Vendor ponsel China, Realme, tampaknya sedang ambisius mengambangkan teknologi fast charging. Minggu (11/8) kemarin, Realme memamerkan teknologi fast charging 300W-nya yang bisa mengisi daya dari 0 ke 15 persen hanya dalam 32 detik saja.","8,685 Views  |  Selasa, 13 Agu 2024 08:00 WIB"
Pameran Pendingin Ruangan Adu Teknologi Ramah Lingkungan,"Jakarta- RHVAC Indonesia 2024 kembali hadirkan pameran yang fokus pada teknologi refrigerasi, pendingin udara (AC), tata udara & efisiensi energi ramah lingkungan.","Kamis, 26 Sep 2024 16:53 WIB"
Jasad Juragan Teknologi Inggris dan Putrinya Ditemukan,"Juragan teknologi Inggris,Mike Lynch, dan putrinya yang baru berusia 18 tahun, Hannah, tenggelam bersama kapal pesiar mewah Bayesian yang diterjang badai hebat. Keduanya dilaporkan telah ditemukan meninggal dunia.","Kamis, 22 Agu 2024 09:36 WIB"
"Resmikan Graha Utama Akmil, Jokowi Minta TNI Waspada Perubahan Cepat Teknologi","Presiden Joko Widodo (Jokowi) meresmikan Graha Utama Akademi Militer di Magelang, Jawa Tengah. Dalam sambutannya Jokowi mengingatkan kepada semua pihak untuk mewaspadai perubahan-perubahan yang muncul.","Senin, 29 Jan 2024 11:58 WIB"
"Peringati Hakordia, Jokowi Ajak Gunakan Teknologi untuk Cegah Korupsi","Presiden RI Joko Widodo menyampaikan korupsi merupakan tindak kejahatan yang menghambat pembangunan, merusak perekonomian bangsa, dan menyengsarakan rakyat. Oleh sebab itu, dibutuhkan sinergi dari berbagai pihak dalam memberantas korupsi.","Selasa, 12 Des 2023 19:04 WIB"
"Teknologi Jaket Canggih Bakal Diuji Coba di Bulan, Tahan Suhu Ekstrem",Sebuah jaket yang disematkan teknologi canggih bakal diujicoba di luar angkasa. Jaket ini akan dibawa ke bulan untuk dites daya tahannya terhadap suhu ekstrem.,"Jumat, 23 Feb 2024 17:10 WIB"
Trend Micro Siapkan Teknologi Pendeteksi Deepfake,"Penelitian Trend Micro menunjukkan bahwa pelaku kejahatan siber memanfaatkan ledakan penggunaan AI di enterprise, salah satunya adalah penggunaan deepfake.","Sabtu, 03 Agu 2024 11:14 WIB"
"Ubah Pikiran Jadi Teks, Begini Teknologi AI DeWave","Para peneliti dari University of Technology Sydney's GrapheneX pada UTS Human Artificial Intelligence Centre membuat DeWave, inovasi pengubah pikiran menjadi kata-kata untuk berkomunikasi.","Kamis, 28 Des 2023 07:30 WIB"
India Ingin Kendalikan Google dan Raksasa Teknologi Digital,"Pada bulan Agustus, pengadilan AS di Washington DC. memvonis Google telah melanggar Undang-undang Antimonopoli dan menghabiskan miliaran dolar untuk mengukuhkan dominasinya di pasar pencarian web dan periklanan.","Jumat, 06 Sep 2024 17:38 WIB"
Modernisasi Pertanian China dengan Bantuan Satelit,"Teknologi satelit terbukti mendorong modernisasi pertanian dan meningkatkan pasokan pangan di Lishu, daerah penghasil biji-bijian utama di Jilin, China. Proses pertanian dipantau dengan satelit Jilin-1, yang bisa memberikan peringatan hama dan penyakit hingga kelembapan tanah.","29,659 Views  |  Selasa, 24 Sep 2024 13:03 WIB"
Menu Kopi di Kedai Ini Dibuat dengan Bantuan Teknologi AI,Google Indonesia dan Kopi Janji Jiwa memanfaatkan fitur Gemini dalam membuat 1 menu kopi baru yang dibuat dengan bantuan teknologi AI.,"Sabtu, 07 Sep 2024 01:30 WIB"
Merancang Geoekonomi Teknologi Kita,[Gambas:Video 20detik],"Selasa, 02 Apr 2024 14:30 WIB"
Seberapa Siap RI Memasuki Era Smart City? Teknologi Jadi Kunci,Penataan kota dan kawasan tak bisa lagi dilakukan dengan cara lawas. Pendekatan smart city jadi pilihan cara yang digunakan untuk mendorong pengembangan kawasan yang lebih bisa memenuhi kebutuhan masyarakat yang tinggal di dalamnya.,"Jumat, 24 Nov 2023 07:58 WIB"
"Wujud SUV Compact BYD yang Irit, Harga Rp 240 Jutaan",Jakarta- BYD merilis Sealion 05 DM-i. Mobil yang masuk kategori SUV compact teknologi hybrid electric vehicles (HEV) ini memiliki konsumsi BBM yang irit.,"Rabu, 25 Sep 2024 08:09 WIB"
Kawasan Industri Surabaya Pakai Teknologi IoT Meteran Air Tingkatkan Efisiensi,PDAM Surya Sembada Surabaya akan menggunakan teknologi Internet of Things (IoT) pada meteran air di kawasan industri. PT SIER pertama kalinya menerapkan untuk meningkatkan pelayanan dan meningkatkan efisiensi dan efektivitas pengelolaan air bersih.,"Senin, 02 Sep 2024 00:05 WIB"
Rahasia Sukses untuk Inovasi Teknologi,Di era modern serba cepat ini tentunya pasti akan beradu inovasi satu sama lain. Hal itu tentu merupakan sebuah tantangan tersendiri dalam mengembangkan suatu ide hingga menjadi inovasi dan dapat diimplementasikan.,"Selasa, 14 Mei  2024 19:40 WIB"
